group,variable,measure,unit,apt_factor_family,use,shock_kind,y1,y2,y3,y4,y5,run1_endY1,run2_endY2_peak,run3_endY3,run4_endY4,run5_endY5
Credit default swaps (CDS),CDX IG 5Y CDS spread,Annual change,Basis points,CDS spread factor,APT factor (hedge legs),shock (cumulative change vs jump-off),100.0,110.0,-50.0,-60.0,-50.0,100.0,210.0,160.0,100.0,50.0
Credit default swaps (CDS),CDX HY 5Y CDS spread,Annual change,Basis points,CDS spread factor,APT factor (hedge legs),shock (cumulative change vs jump-off),420.0,400.0,-200.0,-200.0,-200.0,420.0,820.0,620.0,420.0,220.0
UK government bond yields,3m government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.061,0.071,0.061,0.05,0.04,0.066,0.071,0.061,0.05,0.04
UK government bond yields,1y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.065,0.072,0.062,0.051,0.041,0.0685,0.072,0.062,0.051,0.041
UK government bond yields,2y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.07,0.069,0.058,0.047,0.036,0.07,0.069,0.058,0.047,0.036
UK government bond yields,3y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.07,0.066,0.055,0.043,0.035,0.07,0.066,0.055,0.043,0.035
UK government bond yields,4y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.068,0.063,0.051,0.042,0.035,0.068,0.063,0.051,0.042,0.035
UK government bond yields,5y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.066,0.06,0.049,0.041,0.034,0.066,0.06,0.049,0.041,0.034
UK government bond yields,7y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.061,0.057,0.048,0.041,0.035,0.061,0.057,0.048,0.041,0.035
UK government bond yields,10y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.059,0.056,0.048,0.041,0.035,0.059,0.056,0.048,0.041,0.035
UK government bond yields,15y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.059,0.057,0.049,0.042,0.036,0.059,0.057,0.049,0.042,0.036
UK government bond yields,20y government bond yield,Annual average level,%,Government curve node — GBP,APT factor,stressed LEVEL (subtract jump-off),0.062,0.06,0.052,0.044,0.037,0.062,0.06,0.052,0.044,0.037
Real yields for UK government bonds,5y real government real bond yield,Annual average level,%,Government curve node — EUR (real),APT factor,stressed LEVEL (subtract jump-off),0.02,0.026,0.023,0.019,0.015,0.023,0.026,0.023,0.019,0.015
Real yields for UK government bonds,10y real government real bond yield,Annual average level,%,Government curve node — EUR (real),APT factor,stressed LEVEL (subtract jump-off),0.027,0.03,0.026,0.02,0.016,0.0285,0.03,0.026,0.02,0.016
Real yields for UK government bonds,20y real government real bond yield,Annual average level,%,Government curve node — EUR (real),APT factor,stressed LEVEL (subtract jump-off),0.036,0.038,0.031,0.024,0.018,0.037,0.038,0.031,0.024,0.018
SONIA,Overnight,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.06,0.07,0.06,0.05,0.04,0.065,0.07,0.06,0.05,0.04
SONIA,3m swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.06,0.07,0.06,0.05,0.04,0.065,0.07,0.06,0.05,0.04
SONIA,1y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.064,0.071,0.061,0.05,0.04,0.0675,0.071,0.061,0.05,0.04
SONIA,2y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.067,0.067,0.056,0.045,0.035,0.067,0.067,0.056,0.045,0.035
SONIA,3y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.067,0.063,0.052,0.041,0.033,0.067,0.063,0.052,0.041,0.033
SONIA,4y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.064,0.059,0.047,0.038,0.032,0.064,0.059,0.047,0.038,0.032
SONIA,5y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.061,0.055,0.045,0.037,0.031,0.061,0.055,0.045,0.037,0.031
SONIA,7y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.055,0.05,0.042,0.036,0.03,0.055,0.05,0.042,0.036,0.03
SONIA,10y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.051,0.048,0.041,0.035,0.03,0.051,0.048,0.041,0.035,0.03
SONIA,15y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.049,0.046,0.04,0.034,0.029,0.049,0.046,0.04,0.034,0.029
SONIA,20y swap rate,Annual average level,%,Swap curve node — SONIA,APT factor,stressed LEVEL (subtract jump-off),0.049,0.047,0.04,0.034,0.028,0.049,0.047,0.04,0.034,0.028
US government bond yields,3m government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.062,0.072,0.062,0.052,0.041,0.067,0.072,0.062,0.052,0.041
US government bond yields,1y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.066,0.074,0.063,0.052,0.042,0.07,0.074,0.063,0.052,0.042
US government bond yields,2y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.071,0.071,0.06,0.048,0.037,0.071,0.071,0.06,0.048,0.037
US government bond yields,3y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.071,0.068,0.056,0.044,0.036,0.071,0.068,0.056,0.044,0.036
US government bond yields,4y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.07,0.064,0.052,0.043,0.036,0.07,0.064,0.052,0.043,0.036
US government bond yields,5y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.067,0.061,0.051,0.042,0.036,0.067,0.061,0.051,0.042,0.036
US government bond yields,7y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.063,0.058,0.049,0.042,0.036,0.063,0.058,0.049,0.042,0.036
US government bond yields,10y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.06,0.057,0.049,0.042,0.036,0.06,0.057,0.049,0.042,0.036
US government bond yields,15y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.06,0.058,0.051,0.043,0.037,0.06,0.058,0.051,0.043,0.037
US government bond yields,20y government bond yield,Annual average level,%,Government curve node — USD,APT factor,stressed LEVEL (subtract jump-off),0.063,0.061,0.053,0.045,0.038,0.063,0.061,0.053,0.045,0.038
SOFR,Overnight,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.06,0.07,0.06,0.05,0.04,0.065,0.07,0.06,0.05,0.04
SOFR,3m swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.06,0.07,0.06,0.05,0.04,0.065,0.07,0.06,0.05,0.04
SOFR,1y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.061,0.071,0.06,0.05,0.04,0.066,0.071,0.06,0.05,0.04
SOFR,2y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.064,0.071,0.061,0.051,0.04,0.0675,0.071,0.061,0.051,0.04
SOFR,3y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.068,0.068,0.057,0.046,0.035,0.068,0.068,0.057,0.046,0.035
SOFR,4y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.067,0.064,0.052,0.041,0.033,0.067,0.064,0.052,0.041,0.033
SOFR,5y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.065,0.059,0.048,0.039,0.032,0.065,0.059,0.048,0.039,0.032
SOFR,7y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.061,0.055,0.045,0.037,0.032,0.061,0.055,0.045,0.037,0.032
SOFR,10y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.056,0.051,0.043,0.036,0.031,0.056,0.051,0.043,0.036,0.031
SOFR,15y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.052,0.048,0.041,0.035,0.03,0.052,0.048,0.041,0.035,0.03
SOFR,20y swap rate,Annual average level,%,Swap curve node — SOFR,APT factor,stressed LEVEL (subtract jump-off),0.05,0.047,0.041,0.035,0.03,0.05,0.047,0.041,0.035,0.03
German government bond yields,3m government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.041,0.051,0.041,0.031,0.02,0.046,0.051,0.041,0.031,0.02
German government bond yields,1y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.045,0.053,0.042,0.031,0.021,0.049,0.053,0.042,0.031,0.021
German government bond yields,2y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.05,0.05,0.039,0.027,0.016,0.05,0.05,0.039,0.027,0.016
German government bond yields,3y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.05,0.047,0.035,0.023,0.015,0.05,0.047,0.035,0.023,0.015
German government bond yields,4y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.048,0.043,0.031,0.022,0.015,0.048,0.043,0.031,0.022,0.015
German government bond yields,5y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.046,0.04,0.03,0.021,0.015,0.046,0.04,0.03,0.021,0.015
German government bond yields,7y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.042,0.037,0.028,0.021,0.015,0.042,0.037,0.028,0.021,0.015
German government bond yields,10y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.039,0.036,0.028,0.021,0.015,0.039,0.036,0.028,0.021,0.015
German government bond yields,15y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.039,0.037,0.029,0.022,0.016,0.039,0.037,0.029,0.022,0.016
German government bond yields,20y government bond yield,Annual average level,%,Government curve node — EUR,APT factor,stressed LEVEL (subtract jump-off),0.042,0.04,0.032,0.024,0.017,0.042,0.04,0.032,0.024,0.017
Euribor,Overnight,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.04,0.05,0.04,0.03,0.02,0.045,0.05,0.04,0.03,0.02
Euribor,3m swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.041,0.051,0.041,0.03,0.02,0.046,0.051,0.041,0.03,0.02
Euribor,1y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.045,0.052,0.042,0.031,0.021,0.0485,0.052,0.042,0.031,0.021
Euribor,2y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.049,0.049,0.038,0.027,0.016,0.049,0.049,0.038,0.027,0.016
Euribor,3y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.049,0.045,0.034,0.023,0.015,0.049,0.045,0.034,0.023,0.015
Euribor,4y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.047,0.042,0.03,0.021,0.014,0.047,0.042,0.03,0.021,0.014
Euribor,5y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.044,0.038,0.028,0.02,0.014,0.044,0.038,0.028,0.02,0.014
Euribor,7y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.039,0.035,0.026,0.02,0.014,0.039,0.035,0.026,0.02,0.014
Euribor,10y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.036,0.033,0.026,0.02,0.015,0.036,0.033,0.026,0.02,0.015
Euribor,15y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.035,0.033,0.026,0.021,0.015,0.035,0.033,0.026,0.021,0.015
Euribor,20y swap rate,Annual average level,%,Swap curve node — Euribor,APT factor,stressed LEVEL (subtract jump-off),0.037,0.035,0.028,0.022,0.016,0.037,0.035,0.028,0.022,0.016
Derived — private credit expansion,Private credit DM — senior middle-market direct lending,Derived (beta x LL spread),Basis points,Private credit DM factor,APT factor (custom),shock (cumulative change vs jump-off),,,,,,150.0,300.0,225.0,150.0,75.0
Derived — private credit expansion,Private credit DM — unitranche,Derived (beta x LL spread),Basis points,Private credit DM factor,APT factor (custom),shock (cumulative change vs jump-off),,,,,,170.0,340.0,255.0,170.0,85.0
Derived — private credit expansion,Private credit DM — junior / mezzanine,Derived (beta x LL spread),Basis points,Private credit DM factor,APT factor (custom),shock (cumulative change vs jump-off),,,,,,200.0,400.0,300.0,200.0,100.0
Derived — private credit expansion,"Sensitivity: senior DM, low beta",Derived (beta x LL spread),Basis points,Private credit DM factor,APT factor (custom),shock (cumulative change vs jump-off),,,,,,120.0,240.0,180.0,120.0,60.0
Derived — private credit expansion,"Sensitivity: senior DM, high beta (PC = BSL)",Derived (beta x LL spread),Basis points,Private credit DM factor,APT factor (custom),shock (cumulative change vs jump-off),,,,,,200.0,400.0,300.0,200.0,100.0
